"station","hour_of_day","avg_availability","avg_delta"
46,11,1.45,-0.01
46,12,1.79,0.34
46,13,2.26,0.47
46,14,2.43,0.17
46,15,3.02,0.59
46,16,3.54,0.53
46,17,4.21,0.66
46,18,4.90,0.65
46,19,5.50,0.60
46,20,5.30,-0.15
46,21,4.78,-0.52
46,22,5.05,0.27
46,23,5.09,0.04
47,0,5.56,-0.44
47,1,5.34,-0.23
47,2,4.99,-0.25
47,3,4.88,-0.11
47,4,4.98,0.12
47,5,5.62,0.63
47,6,6.86,1.24
47,7,9.32,2.49
47,8,12.25,2.93
47,9,14.52,2.28
47,10,16.72,2.20
47,11,17.78,1.06
47,12,18.18,0.40
47,13,19.02,0.84
47,14,18.09,-0.93
47,15,16.71,-1.38
47,16,15.21,-1.50
47,17,14.26,-0.96
47,18,13.26,-1.28
47,19,10.45,-2.81
47,20,7.04,-3.40
47,21,5.12,-1.92
47,22,4.18,-0.94
47,23,3.99,-0.19
48,0,10.49,0.26
48,1,10.61,0.17
48,2,10.57,0.08
