Vuosi,Kk,Pv,Klo,Aikavyöhyke,Sateen intensiteetti (mm/h)
2017,4,29,16:00,UTC,1.4
2017,4,29,17:00,UTC,0.8
2017,4,29,18:00,UTC,0.3
2017,4,29,19:00,UTC,0
2017,4,29,20:00,UTC,0.5
2017,4,29,21:00,UTC,0
2017,4,29,22:00,UTC,0
2017,4,29,23:00,UTC,0
2017,4,30,00:00,UTC,0
2017,4,30,01:00,UTC,0
2017,4,30,02:00,UTC,0
2017,4,30,03:00,UTC,0
2017,4,30,04:00,UTC,0
2017,4,30,05:00,UTC,0
2017,4,30,06:00,UTC,0
2017,4,30,07:00,UTC,0
2017,4,30,08:00,UTC,0
2017,4,30,09:00,UTC,0
2017,4,30,10:00,UTC,0
2017,4,30,11:00,UTC,0
2017,4,30,12:00,UTC,0
2017,4,30,13:00,UTC,0
2017,4,30,14:00,UTC,0
2017,4,30,15:00,UTC,0.4
2017,4,30,16:00,UTC,0
2017,4,30,17:00,UTC,0
2017,4,30,18:00,UTC,0
2017,4,30,19:00,UTC,0
2017,4,30,20:00,UTC,0
2017,4,30,21:00,UTC,0
2017,4,30,22:00,UTC,0
2017,4,30,23:00,UTC,0
2017,5,1,00:00,UTC,0
2017,5,1,01:00,UTC,0
2017,5,1,02:00,UTC,0
2017,5,1,03:00,UTC,0
2017,5,1,04:00,UTC,0
2017,5,1,05:00,UTC,0
2017,5,1,06:00,UTC,0
2017,5,1,07:00,UTC,0
2017,5,1,08:00,UTC,0
2017,5,1,09:00,UTC,0
2017,5,1,10:00,UTC,0
2017,5,1,11:00,UTC,0
2017,5,1,12:00,UTC,0
2017,5,1,13:00,UTC,0
2017,5,1,14:00,UTC,0
2017,5,1,15:00,UTC,0
2017,5,1,16:00,UTC,0
2017,5,1,17:00,UTC,0
2017,5,1,18:00,UTC,0
2017,5,1,19:00,UTC,0
2017,5,1,20:00,UTC,0
2017,5,1,21:00,UTC,0
2017,5,1,22:00,UTC,0
2017,5,1,23:00,UTC,0
2017,5,2,00:00,UTC,0
2017,5,2,01:00,UTC,0
2017,5,2,02:00,UTC,0
2017,5,2,03:00,UTC,0
2017,5,2,04:00,UTC,0
2017,5,2,05:00,UTC,0
2017,5,2,06:00,UTC,0
2017,5,2,07:00,UTC,0
2017,5,2,08:00,UTC,0
2017,5,2,09:00,UTC,0
2017,5,2,10:00,UTC,0
2017,5,2,11:00,UTC,0
2017,5,2,12:00,UTC,0
2017,5,2,13:00,UTC,0
2017,5,2,14:00,UTC,0
2017,5,2,15:00,UTC,0
2017,5,2,16:00,UTC,0
2017,5,2,17:00,UTC,0
2017,5,2,18:00,UTC,0
2017,5,2,19:00,UTC,0
2017,5,2,20:00,UTC,0
2017,5,2,21:00,UTC,0
2017,5,2,22:00,UTC,0
2017,5,2,23:00,UTC,0
2017,5,3,00:00,UTC,0
2017,5,3,01:00,UTC,0
2017,5,3,02:00,UTC,0
2017,5,3,03:00,UTC,0
2017,5,3,04:00,UTC,0
2017,5,3,05:00,UTC,0
2017,5,3,06:00,UTC,0
2017,5,3,07:00,UTC,0
2017,5,3,08:00,UTC,0
2017,5,3,09:00,UTC,0
2017,5,3,10:00,UTC,0
2017,5,3,11:00,UTC,0
2017,5,3,12:00,UTC,0
2017,5,3,13:00,UTC,0
2017,5,3,14:00,UTC,0
2017,5,3,15:00,UTC,0
2017,5,3,16:00,UTC,0
2017,5,3,17:00,UTC,0
2017,5,3,18:00,UTC,0
2017,5,3,19:00,UTC,0
2017,5,3,20:00,UTC,0
2017,5,3,21:00,UTC,0
2017,5,3,22:00,UTC,0
2017,5,3,23:00,UTC,0
2017,5,4,00:00,UTC,0
2017,5,4,01:00,UTC,0
2017,5,4,02:00,UTC,0
2017,5,4,03:00,UTC,0
2017,5,4,04:00,UTC,0
2017,5,4,05:00,UTC,0
2017,5,4,06:00,UTC,0
2017,5,4,07:00,UTC,0
2017,5,4,08:00,UTC,0
2017,5,4,09:00,UTC,0
2017,5,4,10:00,UTC,0
